_id,t,o
AGO_IRN,0.000,1.388
AGO_IRQ,0.000,1.070
AGO_ISL,0.000,0.795
AGO_ISR,0.000,0.786
AGO_ITA,0.000,0.778
AGO_JAM,0.000,0.748
AGO_JOR,0.000,0.917
AGO_JPN,0.000,1.066
AGO_KAZ,0.000,1.912
AGO_KEN,0.000,0.939
AGO_KGZ,0.000,1.910
AGO_KHM,0.000,0.899
AGO_KIR,0.000,0.874
AGO_KNA,0.000,0.701
AGO_KOR,0.000,1.049
AGO_KWT,0.000,0.826
AGO_LAO,0.000,1.094
AGO_LBN,0.000,0.780
AGO_LBR,0.000,0.864
AGO_LBY,0.000,0.860
AGO_LCA,0.000,0.696
AGO_LIE,0.000,0.969
AGO_LKA,0.000,0.805
AGO_LSO,0.000,0.835
AGO_LTU,0.000,0.779
AGO_LUX,0.000,0.821
AGO_LVA,0.000,0.837
AGO_MAC,0.000,0.822
AGO_MAR,0.000,0.844
AGO_MCO,0.000,0.699
AGO_MDA,0.000,0.940
AGO_MDG,0.000,0.841
AGO_MDV,0.000,0.723
AGO_MEX,0.000,1.060
AGO_MHL,0.000,0.887
AGO_MKD,0.000,0.854
AGO_MLI,0.000,1.006
AGO_MLT,0.000,0.711
AGO_MMR,0.000,1.314
AGO_MNE,0.000,0.747
AGO_MNG,0.000,1.919
AGO_MNP,0.000,0.848
AGO_MOZ,0.000,0.748
AGO_MRT,0.000,0.911
AGO_MSR,0.000,n.a.
AGO_MTQ,0.000,n.a.
AGO_MUS,0.000,0.664
AGO_MWI,0.000,1.294
AGO_MYS,0.000,0.859
AGO_MYT,0.000,n.a.
AGO_NAM,0.000,0.769
AGO_NCL,0.000,0.913
AGO_NER,0.000,1.043
AGO_NFK,0.000,n.a.
AGO_NGA,0.000,0.917
AGO_NIC,0.000,0.952
AGO_NIU,0.000,n.a.
AGO_NLD,0.000,0.793
AGO_NOR,0.000,0.818
AGO_NPL,0.000,1.397
AGO_NRU,0.000,0.873
AGO_NZL,0.000,1.120
AGO_OMN,0.000,1.162
AGO_PAK,0.000,1.341
AGO_PAN,0.000,0.791
AGO_PER,0.000,1.196
AGO_PHL,0.000,0.965
AGO_PLW,0.000,0.824
AGO_PNG,0.000,0.908
AGO_POL,0.000,0.961
AGO_PRI,0.000,0.705
